,mut5,mut1,mut2,mut3,mut4
cell1,65,49,57,52,69
cell2,62,38,52,33,47
cell3,66,39,64,49,49
cell4,49,50,50,59,65
cell5,43,37,47,54,49
cell6,43,52,61,44,46
cell7,57,51,50,42,53
cell8,51,51,44,42,59
cell9,56,43,45,55,41
cell10,42,58,48,54,45
cell11,49,47,34,61,53
cell12,59,50,56,55,56
cell13,68,47,57,52,46
cell14,48,41,55,57,45
cell15,48,48,40,51,44
cell16,51,55,58,50,46
cell17,55,41,42,42,48
cell18,56,63,44,46,48
cell19,53,50,51,57,52
cell20,49,50,53,53,45
cell21,43,54,37,49,45
cell22,57,55,45,49,51
cell23,44,46,39,64,58
cell24,41,41,57,48,54
cell25,50,55,49,53,50
cell26,50,44,61,33,50
cell27,57,53,51,59,51
cell28,54,53,38,40,37
cell29,61,45,56,61,35
cell30,58,43,58,58,51
cell31,60,52,43,51,48
cell32,53,55,38,57,47
cell33,49,47,51,54,45
cell34,41,65,47,55,57
cell35,45,53,40,47,54
cell36,49,57,41,42,57
cell37,42,62,48,40,41
cell38,69,44,57,58,49
cell39,47,52,57,58,50
cell40,48,52,34,61,38
cell41,54,47,62,64,48
cell42,56,51,59,39,49
cell43,47,53,38,55,51
cell44,54,52,59,49,50
cell45,41,50,49,56,57
cell46,54,58,40,49,42
cell47,51,58,58,45,52
cell48,56,49,47,56,59
cell49,48,51,54,46,46
cell50,62,51,58,51,60
cell51,42,40,58,53,36
cell52,35,47,53,42,50
cell53,46,39,48,55,54
cell54,52,52,48,58,47
cell55,48,39,38,46,50
cell56,48,50,59,53,50
cell57,61,47,59,44,50
cell58,48,46,48,43,37
cell59,58,62,54,56,51
cell60,55,52,39,38,55
cell61,52,51,52,53,55
cell62,53,52,45,50,54
cell63,58,44,53,53,51
cell64,46,56,44,48,65
cell65,49,39,59,50,42
cell66,60,46,49,52,42
cell67,54,47,53,55,45
cell68,43,52,39,44,43
cell69,49,48,50,51,45
cell70,50,47,56,57,62
cell71,46,51,56,52,53
cell72,43,45,44,57,56
cell73,53,44,42,40,51
cell74,51,41,49,57,42
cell75,56,37,47,44,47
cell76,44,65,46,45,37
cell77,59,46,63,50,44
cell78,58,38,58,48,60
cell79,58,44,67,49,51
cell80,58,52,48,41,54
cell81,41,59,48,56,50
cell82,52,50,57,46,49
cell83,58,59,52,45,38
cell84,56,50,29,52,59
cell85,42,49,62,62,58
cell86,57,48,50,46,52
cell87,50,46,55,46,54
cell88,45,49,47,49,57
cell89,53,51,53,50,65
cell90,45,54,48,45,45
cell91,55,57,45,35,40
cell92,30,50,50,36,46
cell93,46,48,37,43,49
cell94,59,47,50,46,51
cell95,39,50,44,48,41
cell96,58,53,47,39,46
cell97,47,34,56,56,40
cell98,55,49,56,39,50
cell99,56,45,41,58,52
