	mut10	mut10	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9
cell1	0	46	15	27	23	42	50	0	39	6	56	1	38	16	49	0	52	0	38	0
cell2	0	43	21	28	48	0	51	4	38	0	37	4	20	24	36	0	45	0	63	0
cell3	0	40	33	18	66	0	53	0	53	0	54	0	47	0	40	7	59	0	47	10
cell4	0	38	23	37	42	0	45	3	54	0	45	0	54	0	46	12	40	9	32	14
cell5	0	38	28	17	28	0	43	1	45	0	36	1	40	0	44	8	38	2	36	11
cell6	0	42	22	31	59	5	44	0	58	1	26	27	43	0	65	0	51	5	51	0
cell7	0	40	34	10	46	0	64	0	52	0	40	1	29	14	46	0	47	0	52	1
cell8	0	45	33	9	48	0	54	1	47	0	64	0	51	5	12	29	58	1	38	0
cell9	0	52	12	44	17	33	41	0	40	0	43	9	47	0	55	0	61	0	45	0
cell10	2	41	2	39	49	0	46	7	48	0	46	0	56	0	57	0	47	0	41	0
cell11	0	51	9	40	40	0	47	0	41	0	51	0	60	0	50	0	50	0	27	14
cell12	0	39	15	42	45	0	17	42	58	0	41	0	34	0	26	15	44	0	52	1
cell13	0	58	11	33	47	2	48	0	50	0	51	0	48	10	51	0	50	0	46	0
cell14	0	54	17	33	58	1	52	3	39	0	47	0	43	3	50	2	53	2	62	0
cell15	0	55	31	21	56	1	47	0	49	0	59	1	51	0	62	4	39	0	45	2
cell16	0	48	8	53	66	0	24	20	46	2	23	1	47	0	35	12	47	0	51	0
cell17	4	35	20	29	49	0	59	0	47	0	55	0	51	0	44	11	48	0	35	13
cell18	0	54	13	29	53	0	54	0	49	0	61	0	47	1	35	10	46	8	40	15
cell19	1	37	26	31	49	0	54	0	46	0	40	0	55	0	33	21	46	0	23	42
cell20	0	49	20	19	58	0	56	1	52	0	57	0	39	1	47	0	50	0	51	0
cell21	0	52	14	29	55	0	49	0	62	0	41	0	46	0	32	18	46	1	32	30
cell22	0	60	23	15	43	3	50	0	59	1	52	0	46	0	57	9	51	0	43	0
cell23	0	51	14	36	49	0	17	27	43	0	59	0	54	0	36	5	48	0	43	5
cell24	0	48	43	17	56	0	59	0	58	0	45	0	15	34	47	0	49	1	46	0
cell25	0	52	46	0	41	2	37	1	43	2	36	0	46	1	55	0	50	0	54	0
cell26	0	47	32	19	40	5	38	1	43	0	38	0	54	1	48	4	57	0	49	1
cell27	0	54	10	38	8	32	50	0	49	14	40	0	39	4	43	0	44	2	40	4
cell28	0	54	47	11	49	0	52	0	47	0	51	1	53	1	16	24	30	25	57	8
cell29	9	42	38	4	50	0	44	0	44	2	38	1	18	28	42	0	59	0	46	0
cell30	0	51	17	41	19	21	61	0	50	4	37	6	38	6	46	0	42	1	53	0
cell31	0	50	48	7	46	0	28	1	46	0	50	0	45	0	25	23	48	0	39	13
cell32	0	50	34	11	59	0	45	0	51	0	61	0	24	26	49	0	41	1	46	0
cell33	0	53	22	40	16	30	53	0	38	5	35	15	50	0	53	0	55	0	45	0
cell34	0	49	18	24	45	9	64	0	48	1	35	23	42	2	53	0	47	0	55	0
cell35	0	53	35	16	54	0	40	0	46	0	41	1	54	1	46	1	51	0	52	0
cell36	0	44	21	22	47	0	58	0	53	0	46	2	46	0	43	0	48	0	53	0
cell37	0	51	16	36	61	0	44	0	48	0	46	0	42	0	41	0	38	0	56	0
cell38	6	36	37	11	50	1	46	3	68	0	60	1	33	15	39	0	60	0	49	0
cell39	0	55	46	14	44	4	57	0	51	0	64	0	15	36	42	4	60	0	49	0
cell40	0	52	29	33	62	0	44	5	50	0	46	0	49	0	50	5	54	0	41	0
cell41	0	44	38	9	42	0	43	0	53	0	42	0	52	0	59	1	52	0	53	1
cell42	0	51	19	23	38	0	57	0	34	2	50	0	50	0	31	6	35	10	11	45
cell43	0	52	45	2	47	0	51	0	55	5	59	0	18	31	52	0	45	0	58	0
cell44	0	50	40	11	49	0	55	0	47	0	44	0	66	0	23	19	42	0	38	0
cell45	0	57	36	12	53	0	54	0	49	0	51	0	47	3	42	0	48	0	47	0
cell46	0	45	43	7	51	1	39	0	49	0	51	0	49	0	32	30	48	0	53	0
cell47	3	47	14	36	35	16	60	0	49	12	38	2	46	4	52	0	41	0	51	0
cell48	2	55	53	0	72	0	39	0	62	0	59	0	43	2	52	0	57	0	53	0
cell49	0	43	31	19	48	3	45	0	43	0	37	13	44	0	40	0	58	0	42	0
cell50	0	49	12	39	43	11	49	0	47	1	41	11	35	6	51	3	49	2	50	0
cell51	0	56	21	23	50	0	50	0	58	0	58	2	48	0	48	13	48	0	49	0
cell52	0	51	46	0	45	0	51	0	54	0	53	1	57	0	56	0	67	0	43	0
cell53	0	53	51	0	50	1	47	0	51	0	65	0	50	2	27	12	54	0	40	4
cell54	0	54	14	40	31	13	40	0	42	11	53	4	36	12	48	0	52	0	43	0
cell55	0	51	36	11	59	0	58	0	47	2	56	0	48	0	42	3	59	0	44	2
cell56	0	45	49	4	46	0	36	5	49	0	45	0	41	0	27	27	53	0	67	0
cell57	0	49	15	43	56	0	37	0	52	0	62	0	53	8	43	1	59	0	52	1
cell58	0	33	12	30	62	1	39	6	46	0	45	0	38	0	42	0	42	0	53	0
cell59	3	51	37	17	41	4	38	2	60	0	36	10	34	16	50	0	54	0	52	0
cell60	0	61	6	45	52	1	49	0	38	0	40	7	52	8	38	1	36	0	64	0
cell61	0	55	17	33	39	3	63	2	40	0	45	0	46	0	39	9	49	0	48	1
cell62	0	47	13	31	57	0	39	1	58	0	47	0	53	0	20	34	42	6	24	10
cell63	0	50	31	25	45	0	50	1	53	0	55	0	41	4	40	23	35	0	26	29
cell64	0	57	46	0	60	0	52	0	34	16	39	0	51	0	46	0	36	0	49	0
cell65	0	51	0	50	29	19	49	0	29	19	48	0	38	12	47	0	46	2	49	5
cell66	1	49	21	23	34	19	59	0	35	14	54	2	32	27	53	0	52	0	57	0
cell67	0	59	25	12	52	0	60	0	38	0	43	0	47	0	40	16	37	9	40	14
cell68	0	43	25	19	55	0	48	1	54	0	51	5	59	0	52	0	49	0	39	0
cell69	1	47	7	34	44	1	52	0	47	0	42	0	39	0	62	2	61	0	48	4
cell70	1	45	37	15	53	1	55	0	49	0	59	0	38	15	46	2	44	0	56	0
cell71	0	55	42	16	29	13	39	1	42	4	54	4	37	20	44	0	45	0	40	5
cell72	0	57	58	0	52	0	46	5	35	0	39	1	49	0	64	0	43	0	47	0
cell73	0	37	29	16	45	1	65	1	46	0	43	0	44	5	30	13	47	0	37	11
cell74	0	33	37	6	47	0	43	0	55	0	54	0	51	0	23	25	58	0	39	0
cell75	0	45	28	19	49	0	49	0	49	0	52	0	43	4	50	18	47	3	35	8
cell76	0	62	31	13	50	0	53	1	52	0	44	0	41	0	24	32	55	0	50	0
cell77	0	55	40	9	63	0	54	0	40	0	48	0	27	38	38	0	49	2	45	0
cell78	0	61	33	21	58	0	53	0	44	0	52	3	46	0	26	9	33	11	42	5
cell79	0	40	36	21	42	0	54	5	52	0	66	0	47	0	32	13	44	0	46	0
cell80	0	54	25	27	57	0	64	0	47	0	49	0	47	0	5	42	35	13	49	4
cell81	1	52	53	0	57	0	51	0	46	0	55	0	52	0	38	2	48	0	51	0
cell82	0	52	23	42	65	0	44	3	39	0	49	0	54	0	51	0	42	0	57	0
cell83	0	49	27	18	52	0	48	0	44	2	59	0	6	48	37	0	60	0	61	0
cell84	0	55	17	29	63	0	44	0	46	0	52	0	58	0	49	1	42	0	29	14
cell85	0	55	19	38	49	0	59	0	43	0	47	0	48	11	48	1	34	1	47	0
cell86	0	38	24	32	43	0	47	0	47	0	43	0	44	3	23	16	44	4	46	13
cell87	0	52	21	26	37	5	37	1	42	9	50	0	36	0	42	18	52	0	41	7
cell88	0	45	28	23	57	1	57	0	51	0	42	0	60	0	40	14	43	7	42	2
cell89	0	49	13	40	41	6	48	0	44	0	29	12	45	11	54	0	51	0	43	0
cell90	8	48	27	20	41	1	49	0	75	0	52	0	49	4	48	0	44	0	42	0
cell91	1	53	9	38	44	19	48	0	51	1	42	13	48	4	38	3	52	0	41	1
cell92	7	48	58	0	41	0	47	0	34	2	48	0	43	1	49	0	56	0	49	0
cell93	0	51	11	38	26	22	60	0	50	0	53	0	40	7	54	0	54	1	43	0
cell94	2	49	27	27	38	6	52	0	57	1	42	12	38	10	52	1	55	0	52	0
cell95	1	44	45	8	60	0	43	6	48	0	35	1	48	0	34	13	61	0	52	0
cell96	0	53	37	11	48	0	39	2	34	0	52	2	47	0	39	12	52	0	52	0
cell97	0	51	17	40	58	5	52	0	53	0	51	0	50	13	58	1	56	0	55	0
cell98	0	38	30	24	37	0	65	0	42	0	61	0	65	0	54	4	51	0	32	17
cell99	0	50	25	16	50	0	51	7	53	0	47	0	36	1	24	24	51	1	47	0
cell100	0	55	48	4	44	0	39	0	56	0	51	0	55	1	37	0	49	1	57	0
