,mut15,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8,mut9,mut10,mut11,mut12,mut13,mut14
cell1,45,60,52,50,54,42,40,51,62,52,41,42,46,47,60
cell2,70,45,46,57,54,56,43,44,49,54,48,49,51,42,56
cell3,41,45,50,60,53,62,45,53,46,46,64,52,51,50,54
cell4,58,68,55,53,58,49,53,56,59,46,38,43,48,46,51
cell5,43,42,38,45,49,60,42,42,58,52,52,45,52,45,58
cell6,50,37,55,50,39,50,42,63,54,48,43,44,49,54,38
cell7,48,51,53,42,31,64,42,46,63,33,44,68,34,48,35
cell8,46,41,50,58,38,43,42,50,40,52,52,52,51,62,50
cell9,53,43,41,56,56,52,40,41,45,54,55,44,44,42,65
cell10,43,57,62,44,48,56,49,48,51,59,56,47,53,51,57
cell11,41,50,43,53,39,53,56,38,43,38,48,42,46,49,52
cell12,53,55,39,59,55,58,51,47,57,50,41,48,62,49,58
cell13,54,38,46,67,53,56,37,49,39,52,52,39,46,50,63
cell14,60,46,43,44,44,49,61,43,57,53,49,38,53,51,68
cell15,43,50,68,48,49,43,50,43,53,41,49,52,47,62,53
cell16,54,42,51,56,46,47,42,65,36,60,53,53,43,46,48
cell17,63,56,52,49,62,49,40,59,52,49,45,49,61,60,69
cell18,53,44,42,50,49,44,46,50,58,58,43,48,49,54,44
cell19,50,51,59,33,48,54,55,53,61,46,51,60,50,51,56
cell20,44,47,51,53,55,52,50,56,52,46,46,52,63,50,45
cell21,54,49,47,47,44,57,42,55,43,34,52,48,51,46,52
cell22,49,50,51,59,60,50,50,49,47,46,52,51,54,46,55
cell23,40,40,51,46,37,55,49,50,50,55,48,66,39,48,47
cell24,54,45,54,49,45,56,43,58,62,49,40,52,65,45,59
cell25,51,55,48,56,45,49,54,42,50,47,53,44,47,55,54
cell26,57,45,47,59,50,50,60,57,55,53,62,55,64,55,59
cell27,45,63,40,46,30,35,53,40,44,53,57,45,61,44,53
cell28,49,52,62,55,48,49,40,56,46,41,54,43,56,51,42
cell29,50,38,42,48,42,49,57,43,44,53,55,49,49,51,54
cell30,51,48,58,51,49,62,53,53,41,58,50,41,33,40,58
cell31,41,48,46,51,48,49,46,59,57,70,44,54,66,40,55
cell32,58,42,58,45,56,46,45,57,53,54,54,51,51,45,49
cell33,51,49,58,61,45,43,47,50,42,57,50,60,61,51,38
cell34,37,31,48,49,39,56,52,59,39,51,42,58,33,58,54
cell35,65,43,49,40,48,45,45,43,41,48,52,60,41,58,64
cell36,51,61,51,48,46,49,46,54,46,52,67,61,58,57,49
cell37,41,56,48,59,51,58,35,46,61,54,43,49,63,58,38
cell38,46,45,54,45,53,40,53,48,51,46,40,37,60,55,44
cell39,55,63,47,53,46,58,63,42,44,41,53,58,53,37,57
cell40,56,64,49,55,52,57,56,57,33,52,52,46,53,44,46
cell41,44,50,46,55,66,31,45,39,44,53,53,41,50,46,50
cell42,48,37,63,44,47,55,47,59,57,47,41,39,39,49,42
cell43,39,48,56,65,63,47,60,46,64,48,43,45,51,49,49
cell44,56,47,49,42,54,56,52,33,47,48,50,44,44,48,44
cell45,41,60,40,44,52,42,42,40,45,48,52,59,45,33,44
cell46,45,44,60,38,37,55,45,48,41,39,65,51,53,50,53
cell47,49,37,55,53,47,56,55,36,42,52,53,46,49,39,48
