	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell1	0	49	12	23	44	0	41	0	42	16	54	0	45	0	46	0	44	0	71	0	26	19	45	0	48	0	48	0	63	0
cell2	0	41	43	0	57	1	53	0	51	0	23	30	62	1	44	0	43	2	42	4	63	0	41	0	46	1	42	0	51	0
cell3	0	59	57	0	52	0	48	0	48	1	49	0	52	0	58	0	47	0	38	0	44	0	58	0	45	3	48	1	51	1
cell4	0	57	35	24	31	0	33	1	37	8	37	4	45	0	54	0	49	0	59	0	40	0	57	0	49	0	46	0	50	1
cell5	4	36	51	0	44	0	53	1	53	0	8	35	57	0	49	0	38	0	32	7	52	0	49	0	48	0	51	0	24	19
cell6	0	51	30	34	49	0	46	0	40	0	46	0	51	0	40	0	58	4	48	0	53	0	48	1	39	0	65	0	49	0
cell7	0	49	16	30	37	0	50	0	43	0	53	3	31	1	46	0	49	0	33	3	40	0	48	4	45	0	54	0	39	0
cell8	1	35	0	56	45	0	54	0	48	7	45	0	46	1	46	0	56	0	72	0	55	0	41	0	47	0	49	0	57	0
cell9	0	45	58	1	53	0	54	0	53	0	1	43	36	0	39	2	49	0	63	7	44	0	52	0	63	0	62	0	46	0
cell10	0	40	54	0	63	0	44	1	51	0	33	21	52	0	51	0	66	0	43	7	48	0	54	4	38	17	47	0	55	0
cell11	0	46	52	1	51	0	44	1	50	0	5	48	44	2	55	0	47	0	20	28	63	0	48	0	50	0	50	0	62	0
cell12	0	50	29	5	33	0	45	0	46	11	28	2	39	0	63	0	59	0	50	4	51	0	46	0	52	0	46	0	50	0
cell13	2	60	46	0	47	1	49	0	48	1	35	0	51	7	51	0	54	0	59	0	50	0	53	0	41	8	62	3	50	1
cell14	0	46	57	1	47	0	54	0	45	0	56	0	44	0	53	0	32	18	48	0	52	3	48	0	50	0	56	1	49	0
cell15	0	43	27	22	42	0	43	3	60	0	48	0	50	0	58	1	45	3	49	0	43	10	54	0	57	0	41	0	47	0
cell16	0	60	24	19	64	0	41	14	48	0	35	5	34	0	39	0	36	3	64	0	40	0	52	0	47	1	52	0	53	0
cell17	1	46	3	49	61	0	41	0	29	13	71	0	43	0	49	0	59	0	44	0	37	8	43	0	59	0	49	0	44	2
cell18	0	45	33	20	50	0	31	20	49	0	52	0	42	2	61	0	40	3	38	0	51	0	51	3	56	0	51	1	56	0
cell19	1	56	45	0	59	0	51	12	57	0	27	27	48	0	43	0	51	0	46	0	50	3	44	0	51	0	55	0	52	0
cell20	0	57	65	0	44	3	62	0	45	0	5	44	39	0	20	36	47	0	47	0	57	0	52	2	46	0	37	0	43	0
cell21	0	54	49	0	42	0	46	0	56	0	13	26	53	0	45	1	42	0	53	2	47	1	52	0	53	0	38	0	43	0
cell22	0	54	51	0	45	5	46	2	46	0	7	34	47	0	49	6	54	0	52	0	62	0	47	0	53	0	47	0	47	10
cell23	0	49	26	36	49	0	55	0	45	0	47	5	40	1	61	0	19	29	51	0	50	4	47	0	47	0	49	1	40	0
cell24	0	45	64	0	53	0	55	0	38	0	16	22	36	1	56	1	58	3	54	2	51	0	56	0	35	1	40	0	47	0
cell25	0	47	60	4	46	1	51	4	43	1	44	15	55	0	49	0	43	3	37	12	55	0	42	0	53	2	40	0	42	12
cell26	1	49	47	0	52	0	36	0	44	0	41	1	42	0	44	0	55	0	60	0	31	2	42	0	60	2	44	0	35	0
cell27	0	46	43	5	55	0	56	1	52	0	48	2	41	1	54	0	53	0	47	1	46	0	59	0	59	0	45	0	55	0
