	cell1	cell1	cell2	cell2	cell3	cell3	cell4	cell4	cell5	cell5	cell6	cell6	cell7	cell7	cell8	cell8	cell9	cell9	cell10	cell10	cell11	cell11	cell12	cell12	cell13	cell13	cell14	cell14	cell15	cell15	cell16	cell16	cell17	cell17	cell18	cell18	cell19	cell19	cell20	cell20	cell21	cell21	cell22	cell22	cell23	cell23	cell24	cell24	cell25	cell25	cell26	cell26	cell27	cell27	cell28	cell28	cell29	cell29	cell30	cell30	cell31	cell31	cell32	cell32	cell33	cell33	cell34	cell34	cell35	cell35	cell36	cell36	cell37	cell37	cell38	cell38	cell39	cell39	cell40	cell40	cell41	cell41	cell42	cell42	cell43	cell43	cell44	cell44	cell45	cell45	cell46	cell46	cell47	cell47	cell48	cell48	cell49	cell49	cell50	cell50
mut10	1	54	0	51	0	56	0	47	2	40	0	42	0	41	0	50	0	33	1	47	0	59	0	52	0	46	1	56	0	42	0	56	0	59	0	52	1	44	16	44	1	47	2	72	0	57	0	47	1	48	0	50	5	39	0	54	1	58	2	47	0	49	0	54	0	58	0	55	0	38	0	69	0	49	0	49	0	46	0	58	0	48	0	54	0	48	0	38	0	64	0	51	0	63	1	48	0	40	0	55
mut1	49	0	14	33	49	0	12	43	53	0	55	0	5	43	53	0	44	0	3	56	42	0	40	12	21	28	0	42	2	36	47	0	58	0	48	0	52	0	2	51	0	51	49	0	25	35	49	0	50	0	16	37	2	52	38	0	0	45	47	0	2	55	40	0	39	0	69	0	4	52	46	0	46	0	0	45	41	0	52	0	43	0	51	0	13	43	20	32	52	0	37	14	36	11	33	20	51	0	41	2
mut2	49	2	51	2	55	1	21	30	45	9	46	0	37	15	66	0	45	0	39	5	55	0	45	0	43	0	18	32	39	1	44	0	44	0	66	1	53	7	37	28	26	31	51	0	32	12	47	0	45	0	37	17	23	25	44	0	21	27	52	1	18	30	42	0	41	0	60	0	8	35	54	0	43	0	22	19	50	0	59	0	54	0	46	0	27	33	22	33	45	0	19	18	48	0	44	0	36	1	52	0
mut3	38	0	53	1	45	0	14	27	45	0	42	0	61	0	50	0	46	0	43	0	54	0	51	0	48	2	49	0	40	0	42	1	55	0	45	0	53	0	32	8	24	22	48	0	47	6	57	0	54	0	24	31	29	20	61	0	28	17	55	0	28	13	58	0	61	0	38	0	7	32	56	0	55	0	37	11	59	2	48	0	53	0	45	5	62	0	37	12	55	1	51	0	48	0	58	1	43	0	59	0
mut4	38	0	61	0	47	0	44	9	49	0	49	0	52	5	47	0	43	0	48	5	55	0	41	0	64	0	36	3	40	1	60	0	49	4	46	1	52	2	51	3	46	0	46	1	71	0	30	6	51	1	42	8	45	0	47	0	53	0	46	0	48	0	56	4	61	0	49	0	45	5	43	1	52	0	42	0	59	0	46	0	39	0	34	0	46	0	45	12	53	0	59	0	47	0	55	0	44	0	50	0
mut5	22	28	42	1	34	20	62	0	2	56	8	48	50	0	43	1	24	19	32	1	49	1	48	0	57	0	57	0	44	0	26	23	11	46	6	45	40	15	49	0	44	0	38	18	55	7	4	41	13	38	58	0	58	0	2	42	52	0	52	3	44	0	0	61	37	22	9	56	46	0	5	47	48	0	42	0	11	41	55	1	4	53	0	46	41	0	44	1	0	46	50	0	24	30	60	0	15	35	43	17
mut6	38	13	49	0	52	0	61	0	54	11	13	28	45	2	58	1	25	25	51	0	50	0	43	0	49	0	55	0	52	0	44	9	49	1	34	18	30	7	49	0	53	0	42	0	36	0	36	14	34	20	70	0	53	0	44	2	47	5	49	1	46	0	20	28	44	14	57	1	51	0	50	0	53	1	56	1	56	0	57	1	33	11	58	0	54	0	61	0	36	0	48	0	23	9	41	1	45	6	56	7
mut7	54	0	44	0	49	0	47	1	41	0	34	9	41	3	49	0	49	2	53	0	58	0	37	1	51	0	49	0	51	0	47	0	46	0	52	0	56	0	53	0	53	0	39	0	60	2	14	31	60	1	50	0	60	1	53	0	56	0	45	0	57	0	50	8	59	0	48	0	64	0	58	0	46	0	44	0	48	0	45	0	39	8	50	1	54	0	68	2	24	11	47	0	33	11	71	0	53	0	56	1
mut8	50	0	39	2	48	0	54	0	46	3	44	0	51	0	49	3	56	0	42	0	65	0	58	0	49	0	57	0	48	0	53	0	50	0	44	0	58	1	55	0	42	0	57	0	54	0	56	0	64	0	42	0	53	0	59	0	46	0	43	3	48	0	40	10	35	16	27	24	45	0	40	0	56	0	40	1	47	0	33	0	43	0	49	0	44	1	49	0	53	1	45	0	41	6	47	0	41	12	54	0
mut9	55	3	43	1	39	0	53	0	51	0	53	1	61	0	42	0	43	0	35	1	47	0	45	0	41	0	53	0	51	1	52	0	38	0	39	0	39	12	52	0	46	0	46	1	48	0	52	0	50	0	50	3	54	0	41	0	42	0	41	0	65	0	63	0	51	2	45	0	37	0	43	0	49	3	53	0	56	0	59	0	50	0	41	0	50	0	40	4	42	1	53	0	45	0	48	0	49	1	46	0
